author,papers_count
"Niru Maheswaranathan, Alex Williams, Matthew Golub, Surya Ganguli, David Sussillo",2
"Nathan Kallus, Masatoshi Uehara",2
"James Newling, François Fleuret",2
Yedid Hoshen,2
"Pier Giuseppe Sessa, Ilija Bogunovic, Maryam Kamgarpour, Andreas Krause",2
"Luiz Chamon, Alejandro Ribeiro",2
"Noel Loo, Ramin Hasani, Alexander Amini, Daniela Rus",2
"Pascale Gourdeau, Varun Kanade, Marta Kwiatkowska, James Worrell",2
Dean A. Pomerleau,2
"Ferran Diego Andilla, Fred A. Hamprecht",2
"Anish Chakrabarty, Swagatam Das",2
"Tao Yu, Christopher M. De Sa",2
"Koby Crammer, Michael Kearns, Jennifer Wortman",2
"Maria-Florina F. Balcan, Hongyang Zhang",2
"Qiwen Cui, Simon S. Du",2
Amit Daniely,2
"Eunho Yang, Pradeep K. Ravikumar, Genevera I. Allen, Zhandong Liu",2
"Antonio Orvieto, Aurelien Lucchi",2
"Xiuyuan Lu, Benjamin Van Roy",2
"Songbai Yan, Kamalika Chaudhuri, Tara Javidi",2
Shigeru Tanaka,2
"Enmao Diao, Jie Ding, Vahid Tarokh",2
Jordan Pollack,2
"Yonatan Geifman, Ran El-Yaniv",2
"Larry Wasserman, John Lafferty",2
"Hadrien Hendrikx, Francis Bach, Laurent Massoulié",2
"Lingjiao Chen, Matei Zaharia, James Y. Zou",2
"Kohei Hayashi, Yuichi Yoshida",2
Thomas Anastasio,2
Carlos Brody,2
"Shinji Ito, Daisuke Hatano, Hanna Sumita, Akihiro Yabe, Takuro Fukunaga, Naonori Kakimura, Ken-Ichi Kawarabayashi",2
"Aviv Rosenberg, Yishay Mansour",2
"Bohdan Kivva, Goutham Rajendran, Pradeep Ravikumar, Bryon Aragam",2
Richard S. Sutton,2
"Tomas Vaskevicius, Varun Kanade, Patrick Rebeschini",2
Francesco Orabona,2
"William Huang, Richard P. Lippmann",2
"Stefano Ermon, Carla P. Gomes, Ashish Sabharwal, Bart Selman",2
"Tzi-Dar Chiueh, Rodney Goodman",2
Paul Smolensky,2
"Öjvind Bernander, Christof Koch, Rodney Douglas",2
Lei Shi,2
"Reda Ouhamma, Odalric-Ambrym Maillard, Vianney Perchet",2
"Ben Eysenbach, Russ R. Salakhutdinov, Sergey Levine",2
"Lingxiao Wang, Zhuoran Yang, Zhaoran Wang",2
"Guido Dornhege, Benjamin Blankertz, Gabriel Curio, Klaus-Robert Müller",2
"Dilip Arumugam, Benjamin Van Roy",2
"Alexandra Carpentier, Rémi Munos",2
"Arya Mazumdar, Barna Saha",2
"Jessica Finocchiaro, Rafael Frongillo, Bo Waggoner",2
"Charles Marcus, R. Westervelt",2
Amos J. Storkey,2
"Vaishnavh Nagarajan, J. Zico Kolter",2
"Jiafan He, Dongruo Zhou, Quanquan Gu",2
"Kumar Sricharan, Alfred Hero",2
"Anders Krogh, John Hertz",2
"Sudhanshu Chanpuriya, Cameron Musco, Konstantinos Sotiropoulos, Charalampos Tsourakakis",2
"Ingo Steinwart, Don Hush, Clint Scovel",2
"Xiaofeng Wang, Tuomas Sandholm",2
"Spencer Frei, Yuan Cao, Quanquan Gu",2
John Moody,2
"Ulysse Marteau-Ferey, Francis Bach, Alessandro Rudi",2
Dean Pomerleau,2
"Omer Ben-Porat, Moshe Tennenholtz",2
"Badih Ghazi, Pritish Kamath, Ravi Kumar, Pasin Manurangsi",2
"Meyer Scetbon, Marco Cuturi",2
Volker Tresp,2
Todd Leen,2
Harald Steck,2
"Andrea Zanette, Alessandro Lazaric, Mykel J. Kochenderfer, Emma Brunskill",2
"Matteo Turchetta, Felix Berkenkamp, Andreas Krause",2
Richard Golden,2
Ricardo Silva,2
"Yu-Chia Chen, Marina Meila",2
"Assaf Glazer, Michael Lindenbaum, Shaul Markovitch",2
"Andre Barreto, Doina Precup, Joelle Pineau",2
Lirong Xia,2
"Xingchao Liu, Xin Tong, Qiang Liu",2
"Ryoma Sato, Makoto Yamada, Hisashi Kashima",2
